build_id,schema_version,sop_version,date_time_utc,operator_id,lab_site,format,support_type,lipid_CL_frac,lipid_PE_frac,lipid_PC_frac,cholesterol_frac,buffer_pH,ionic_strength_mM,temp_C,extrusion_used,extrusion_pore_nm,extrusion_passes,size_mean_nm,size_pdi,turbidity_od600,visible_aggregation,assembly_method,detergent_type,detergent_conc_mM,detergent_removal_method,atpsyn_present,pump_present,scaffold_present,repair_present,atpsyn_to_lipid_ratio,pump_to_lipid_ratio,scaffold_to_lipid_ratio,repair_to_lipid_ratio,orientation_method,orientation_score,defect_proxy_before,defect_proxy_after,leak_proxy_baseline,leak_proxy_after_repair,stimulus_mode,stimulus_intensity,pmf_on,pmf_off,pmf_decay_tau_min,ATP_rate_on_uM_per_min,ATP_rate_off_uM_per_min,ATP_yield_window_uM,on_off_ratio,coupling_efficiency_proxy,energy_membrane_score,QC_REAGENTS_OK,QC_MEMBRANE_STABLE,QC_BASELINE_LEAK_OK,QC_ATP_BACKGROUND_OK,QC_ONOFF_OK,QC_PMF_OK,QC_REPAIR_EFFECT_OK,qc_status
IMM-00000,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.14882430442197503,0.17736009689338422,0.6738155986846408,0.027266460741413874,7.152088361250884,152.10502609091034,27.360860982218135,True,80,18,52.34182396778255,0.12796689672718473,0.28343638333499455,none,film_hydration,DDM,1.3224711998988037,biobeads,True,False,True,True,0.0022077969060107536,0.0,0.0036640887482453557,0.0015468768532422908,affinity,0.5508746628550496,0.20328338145244884,0.1593584831968086,0.8507362150921528,0.6830345623765697,NONE,0.0,0.06339926958009923,0.06339926958009923,21.021946498708473,0.25569628120668314,0.24820392372716626,5.113925624133663,1.0279353015250388,0.7939156556633991,36.32864411600324,True,True,True,True,False,True,True,PASS
IMM-00001,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.07613726566852921,0.16994253692645123,0.7539201974050196,0.020819978362834904,7.372074512603961,153.86624501373183,22.25512709702025,True,80,12,111.20733121562664,0.21335817984592984,0.12302355270713344,none,film_hydration,OG,2.436827719338416,biobeads,True,True,True,True,0.00756566706618618,0.004471064961632593,0.004970877925917067,0.00484359454923434,affinity,0.7501976611046627,0.3694477459609639,0.2818577282818841,0.9781350875664488,0.7728204821124985,LIGHT,0.6551746008743318,0.5777294733259776,0.0541141208158651,25.267105437329658,0.4330765925772862,0.343558727627651,8.661531851545725,1.2462266977711438,0.9455760564907462,39.144461023932664,True,True,True,True,False,True,True,PASS
IMM-00002,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.023745439016069025,0.17195667807542378,0.8042978829085071,0.11285074886434099,7.572350975142689,138.5475302922231,20.525696423600163,True,80,12,75.79722216252155,0.12894931439179066,0.06631194282187326,none,detergent_removal,DDM,0.6934498251791908,dialysis,True,True,False,True,0.00396596072820966,0.009819995825509695,0.0,0.0013388922689824946,none,0.3585754930492466,0.49885645672892787,0.4298923643710837,0.8834661144081868,0.7824133374436254,NADH,0.21955231222885627,0.2476057054348987,0.03300217177204214,17.825170626754595,0.4020222271133073,0.3880087321869099,8.040444542266146,1.0343460662012935,0.7574175450493272,34.57296180032421,True,True,True,True,False,True,True,PASS
IMM-00003,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.14585995931018103,0.16905316015495117,0.6850868805348678,0.08512314775602722,7.529976909258475,113.8213458774209,21.683274725536634,True,100,17,81.99737623716197,0.15169731232856143,0.21071677829228605,none,film_hydration,OG,1.1249407271918066,biobeads,True,True,True,True,0.00838960868071662,0.0013720425949819025,0.005325620841301184,0.0006336457336187006,none,0.5053340876742216,0.16327069993356305,0.18822167237508924,0.8971497364007059,0.6997729786381821,NADH,0.24341950939997928,0.23864863612570814,0.05178251183483039,23.642278354484038,0.25458538362659067,0.228546210630365,5.091707672531813,1.1047659223215873,0.8721211653199824,37.99618668651456,True,True,True,True,False,False,True,CONDITIONAL_PASS
IMM-00004,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,patch,glass,0.08825836150320956,0.09011205688109225,0.8216295816156982,0.042295621339699344,7.641480404682203,150.4663608919641,19.222385889188423,True,80,9,73.50874548518087,0.2537326332575031,0.11945201404979394,none,film_hydration,OG,0.9423028494030423,biobeads,True,True,False,True,0.0016165756274767917,0.00785632898532125,0.0,0.0013175501740782594,affinity,0.6666613161342945,0.5718895696795327,0.5277922979579777,0.9724425493426216,0.8443287956558053,NADH,0.13917392078184868,0.16991030529572831,0.02351691719375414,19.656759089493228,0.26964687783362085,0.2603151647452443,5.3929375566724165,1.033290075821825,0.7741558867825509,34.97367553259255,True,True,True,True,False,False,True,CONDITIONAL_PASS
IMM-00005,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.09570050016288166,0.22670817074328456,0.6775913290938338,0.0424278175914354,7.405555389298621,191.17779120882005,24.722043898532554,True,100,8,112.19174718547892,0.21818291168654874,0.26502606099242215,none,detergent_removal,DDM,0.3545062260602388,biobeads,True,True,False,True,0.008470067915664852,0.006631405198662987,0.0,0.0029288500004769485,gradient_insertion,0.7911087982261973,0.345034852646798,0.24512089577718676,0.7692782633511727,0.7074038765037619,LIGHT,0.5462468960310193,0.6134384931281526,0.0596278383405746,19.913596350861404,0.28254612492318787,0.18068521264133824,5.650922498463757,1.5075656095493892,0.9721614483144577,38.328694796905374,True,True,True,True,False,True,True,PASS
IMM-00006,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.11910119452904684,0.2020194372563898,0.6788793682145634,0.0,7.35833628727992,115.99019581327128,15.426074710355572,True,80,8,62.21964675250495,0.28492464021741926,0.4234489501299283,mild,film_hydration,OG,1.2472034971127455,dialysis,True,True,True,False,0.004645322987055079,0.0046392076533737624,0.0009731996826958844,0.0,affinity,0.8094330234334169,0.4927932256629779,0.4927932256629779,0.9667482099981564,0.9667482099981564,NADH,0.3654569746986287,0.40742105405078244,0.059355822988695156,18.115466173902597,0.28122241257193686,0.25043853230548413,5.6244482514387375,1.1138294902136194,0.7877805177008673,34.18117766170238,True,True,True,True,False,True,True,PASS
IMM-00007,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.020075324413414485,0.14343008803949583,0.8364945875470897,0.05235599530652965,7.106863573148756,117.07550461291521,26.522452921000035,True,50,15,40.0,0.29577761354368093,0.4258845640029394,mild,film_hydration,DDM,0.9024619737496565,biobeads,True,True,True,False,0.004892604334377209,0.001845456348765048,0.01120126032679592,0.0,affinity,0.6770395394479235,0.6270295427313975,0.6270295427313975,1.0485243469079109,1.0485243469079109,LIGHT,0.8625995040693977,0.6171403384765404,0.05815967760500254,22.089948723834915,0.2858281240426241,0.24013633982989266,5.716562480852482,1.175645525890808,0.8746732166252367,36.07700813479731,True,True,True,True,False,True,True,PASS
IMM-00008,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,vesicle,none,0.10028656365948437,0.23758008419774843,0.6621333521427673,0.04972224848986682,7.782242499477736,130.56632245827234,20.442278780498462,True,100,14,90.52079063409518,0.1638012528199586,0.1697592091679231,none,film_hydration,CHAPS,1.8463914979387832,dialysis,True,True,True,True,0.003291613842796087,0.014464078678597617,0.004392596794431972,0.0014287569219845085,affinity,0.6551331515496169,0.3046138194255214,0.2741640070436009,0.9626241851303814,0.7439691551349736,NADH,0.227275741699944,0.36052336154372555,0.053368969456830645,23.80269587232783,0.22891236966116427,0.20493612434711012,4.578247393223285,1.1065913506940985,0.8930012900165364,38.10920233365279,True,True,True,True,False,True,True,PASS
IMM-00009,0.2.2,SOP-IMM-FAB-001,2026-02-04T05:20:54Z,OP-01,LONDON-TESTBED,patch,porous_support,0.13480518752860446,0.2596538274618977,0.6055409850094978,0.019921187393826697,7.447858064781523,149.928984033684,18.025534610641156,True,50,12,353.56007262125473,0.12945469406053559,0.06716827707782198,none,microfluidic_mix,DDM,0.7814776549045586,biobeads,True,False,False,False,0.016864198574143802,0.0,0.0,0.0,none,0.460234097133629,0.27691847011777004,0.27691847011777004,0.8478897397997577,0.8478897397997577,NONE,0.0,0.1043743263275492,0.1043743263275492,19.31291967177524,0.22466626979747267,0.22466626979747267,4.493325395949453,1.0,0.7399666111537054,34.38074083447955,True,True,True,True,False,True,True,PASS
